Sr.No,Hospital Name,Address,City,State,Pin Code
484,Bharath Hospital & Institute of Oncology,"# 438, Outer Ring Road, Hebbal",Mysore,Karnataka,570017
485,Hi-Tech Medicare Hospital,"N-H 17, Ambal Pady",Udupi,Karnataka,576103
486,Mitra Hospital,Old Post Office Road,Udupi,Karnataka,576101
487,Shridevi Institute Of Medical Sciences And Researc,"Nh - 04, Sira Road, Tumkur",Tumkur,Karnataka,572106
488,Sri Basaveshwara Hospital,"Opp. Sri Raghavendra Swamy Mutt. Tilak Nagar, 1St Cross",Shimoga,Karnataka,577201
489,Pragathi Speciality Hospital,"Bolwar, Main Road",Puttur,Karnataka,574201
490,Trinity Hospital  and Heart Foundation,"Near R.V.Teacher'S College Circle., Basavanagudiq",Bangalore,Karnataka,560004
491,Sagar Nursing Home,"Jail Circle,",Shimoga,Karnataka,577201
492,"Ashraya Hospital, Davangere",Davangere,Davangere,Karnataka,577004
493,Subbaiah Hospital,"Subbaiah Hospital Complex, Sr Road, Jail Road,",Shimoga,Karnataka,577201
494,SANJEEVINI HOSPITAL - BANGALORE,"760, 7Th Main Last Bus Stop, Near Swiming Pool Mahalakshmi Layout",Bangalore,Karnataka,560086
495,VIJAYA HOSPITAL - BELGAUM,"Behind B.D Jatti College, Infront Of State Excise, Ayodhyanagar,",Belgaum,Karnataka,590001
496,SDM COLLEGE OF MEDICAL SCIENCE AND HOSPITAL,"Manjushree Nagar Sattur Dharwad, Manjushree Nagar,",Dharwad,Karnataka,580009
497,Choudhari Hospital,"Near Lic. Office, Shikharkhana Road, Vijayapur",Bijapur,Karnataka,586104
498,SHRI SAI HOSPITAL,"17/5 Laxmi Nagar, Vadgaon, Vadgaon",Belgaum,Karnataka,590005
499,Justice  K.S Hegde Charitable Hospital,Deralakatte,Mangalore,Karnataka,575018
500,Ashraya Hospital,"P.B. No. 77, Naidu Street, Near Bus Stand,",Chikmagalur,Karnataka,577101
501,"Latha Nursing Home -
Davangere","2Nd Main 9Th Cross, P.J. Extension",Davangere,Karnataka,577002
502,"Kerudi Hospital & Research
Centre","Extension Area, Bagalkot, Opp. Axis Bank",Bagalkot,Karnataka,587101
503,Nayana Hospital,"Tarikere Road, Near Muncipal Office",Bhadravathi,Karnataka,577301
504,ST IGNATIUS HOSPITAL,"Prabhat Nagar, Prabhat Nagar,",Honavar,Karnataka,581334
505,BGS Global Hospital,"Bgs Health & Education City, No # 67,Uttarahalli Road, Kengeri,",Bangalore,Karnataka,560060
506,Suchethana Hospital,"#174 3Rd Main P J Extension Davangere, Opp Vishwewarain",Davangere,Karnataka,577002
507,Mani Super Speciality Hospital & Research Institut,"#252, Sampige Road, K.R. Puram, Hassan",Hassan,Karnataka,573201
508,Shakuntala Memorial Hospital & Research Centre,"50/51/ Golden Town Hosur, Hosur",Hubli,Karnataka,580021
509,"Kasturba Hospital, Manipal","Post Box No. 7, Manipal, Manipal",Udupi,Karnataka,576104
510,Chetana Hospital,"Near Mt Roadm, Puttur",Puttur,Karnataka,574201
511,Vydehi Institute Of Medical Science Centre,"# 82, Epip Area, White Field.",Bangalore,Karnataka,560066
512,"Sri Devi Nursing Home -
Kundapura","Akg Road, Vaderhobali,",Kundapur,Karnataka,576201
513,Vittala International Institute Of Ophthalamology.,"2Nd Cross, 7Th Block, Bsk 3Rd Stage, Hosakerehalli. Bsk-2Nd Stage, Hosakerehalli",Bangalore,Karnataka,560085
514,Bharathy Hospital,"No 4,Nagarbhavi Main Road, Prashanth Nagar , Shobha Hospital",Bangalore,Karnataka,560079
515,"Sankara Eye Hospital
Kundalahalli","Hal Airport-Varthur Road, Kundalahalli Gate",Bangalore,Karnataka,560037
516,Sagar Hospital - Bangalore,"Shavige Malleshwara Hills, Behind Dsi Campus, Kumaraswamy Layout,Banashankari",Bangalore,Karnataka,560078
517,City Central Hospital Pvt Ltd,"17, Akkamahadevi Road, P J. Extension, Davangere",Davangere,Karnataka,577002
518,Yenepoya Medical College Hospital,"Dorala Kahe, Nityananda Nagar .Mangalore, Dakshina Kannanda",Mangalore,Karnataka,575018
519,Benaka Health Center - Ujire,"Near Ernodi Bridge, Main Road",Ujire,Karnataka,574240
520,"Surgeon's Hospital,","Ankadakatte, Koteshwar,",Kundapur,Karnataka,576222
521,M S Ramaiah Narayana Hrudayalaya Heart Centre,"Msrit Post, New Bel Road, M S Ramaiah Memorial Hospital",Bangalore,Karnataka,560054
522,Bangalore Nethralaya Hospital,"# 946, 21St Main, Near Bda Complex, Banashankari, 2Nd Stage, Bangalore",Bangalore,Karnataka,560070
523,Malnad Hospital & Institute of Oncology,"9Th Mile Stone, Opp. Bidare Bus Stop, B.H. Road,Nidige Post, Opp Bidare Bus Stop",Shimoga,Karnataka,577222
524,"ST JOSEPH'S HOSPITAL -
MYSORE","176, Bengaluru-Mysuru Highway, Bannimantap,",Mysore,Karnataka,570015
525,Adarsha Hospital - Udupi,"Near Service Bus Stand, Near Ksrtc Bus Stand,",Udupi,Karnataka,576101
526,Sridevi Multispeciality Hospital,"Bunder Road Bunder Road, Honavar",Honavar,Karnataka,581334
527,Vaatsalya Hospital - Hassan,"Bharathi Healthcare Complex, No. 8, Opp. Sandalkote, R C Road, Hassan.",Hassan,Karnataka,573201
528,TSS Shripad Hegde Kadave Inst. of Medical Sciences,"College Road, Sirsi, Near Mes College, , Near Mes College",Sirsi,Karnataka,581402
529,Maruthi Eye & Dental Hospital - Gangavathi,Opp Sandeep Theatre O.S.B.Rd Gangavathi Koppal,Koppal,Karnataka,583227
530,Nethrakashi Eye Hospital and Micro surgical center,"No 33, 1St Main, Telecom Layout, Padmanabhanaga",Bangalore,Karnataka,560061
531,"Yash Hospital Critical Care
Centre","4924/3, Mahadwar Road",Belgaum,Karnataka,590001
532,Prashanth Hospital-,"No. 90/D, Bommanahalli Circel, Hosurmain Road, , At Bommanahalli Circle",Bangalore,Karnataka,560068
533,Mookambika Modi Eye Hospital,"3Rd Main Road, Bengaluru - Honnavar Rd, Behind Doddamane Nursing Home",Tumkur,Karnataka,572102
534,SHREE MAHADESHWARA NURSING HOME,"No.07, Buddha Marga, Sri Male Mahadeshwara Road, Mysuru Bannur Main Road, Siddrathanagara",Mysore,Karnataka,570011
535,PRASAD NETRALAYA,"A.J. Aise Road, Behind Alankar Theatre, Mission Hospital Road",Udupi,Karnataka,576101
536,Pranav Hospital - Udupi,"Near Handady Grama Panchayat, Brahmavar",Udupi,Karnataka,576213
537,Tipu Sultan Meternity & General Hospital,"Millat Nagar, Ring Road",Gulbarga,Karnataka,585104
538,Patil Medi-Care Multispeciality Hospital,"Opp. Siddarameshwar Kalyan Mantap, Behind Kerudi Hospita, Bagalkot",Bagalkot,Karnataka,587101
539,Vaatsalya Hospital - Gadag,"Vivekananda Road, 4Th Cross, Masari",Gadag,Karnataka,582101
540,Jaypriya Hospital,"# 2, Ashok Nagar Road, Bailappanavar Nagar",Hubli,Karnataka,580029
541,Bijapur Kidney Foundation,"Opp New Mugulkhod Math, Solapur Road,",Bijapur,Karnataka,586104
542,Omega Hospitals (P) Ltd,"Mahaveer Circle, Pumpwell, Kankanady",Mangalore,Karnataka,575002
543,Citi Hospital - Hosapete,"Nr. Lic Office, Dam Road,",Hospet,Karnataka,583203
544,Vasan Eye Care- Mysore,"Chamrajamohalla, Laksmipuram",Mysore,Karnataka,570004
545,BHS LAKEVIEW HOSPITAL,"R. S. No. 73/7, Cts No. 11888, Opp. Fort Lake, Gandhi Nagar,",Belgaum,Karnataka,590016
546,Dipali Hospital,"8Th Cross,1St Main, Basaveshwara Badavane, Basaveshwar Badavane",Hospet,Karnataka,583201
547,Nayana Super Speciality Eye Hospital,"1St Main Mcc 'B' Block, Dental College Road, Davangere",Davangere,Karnataka,577004
548,"Basappa Multispeciality
Hospital","Turuvanur Road, Chitradurga",Chitradurga,Karnataka,577501
549,Sanjeevini Hospitals,"# Sic, Sid, S. Nijalingappa Badavane, Near Ring Road",Davangere,Karnataka,577004
550,Rajlaxmi Kidney Hospital,"Old Jewargi Road, Near Vijay Vani Press Office Old Jewargi Road, Near Vijay Vani Press Office, Kalaburagi(Gulbarga0",Gulbarga,Karnataka,585102
551,Medihope Hospital,"#114/1, Malleshpalya Main Road, New Thippasandra, , Vignan Bus Stop",Bangalore,Karnataka,560075
552,HCG NMR Cancer Center Oncology,"T.B. Road, Near Revankar Kalyana Mantapa, Deshpande Nagar",Hubli,Karnataka,580029
553,HBS Hospital - Unit of Shama Charitable Trust,"#58, Cockburn Road, Shivaji Nagar",Bangalore,Karnataka,560051
554,Indiana Hospital & Heart Institute Limited,"Near Mahaveer Circle, Kankanady Post, Pumpwell",Mangalore,Karnataka,575002
555,Rajarajeswari Medical College & Hospital,"No.202, Kambipura, Mysore Road",Bangalore,Karnataka,560074
556,Bhadra Nursing Home,"Gandhi Nagar,Bhadravati",Bhadravathi,Karnataka,577301
557,Sahyadri Narayana Multispeciality Hospital,"New Thirthalli Road, Harakere",Shimoga,Karnataka,577202
558,Bhanavi Hospital,"# P2, Anikethana Road, E & F Block, Kuvempunagara, Mysore",Mysore,Karnataka,570023
559,Sindhu Eye Care Centre,"No. 6, Block, No.1 Madhuvana Layout Srirampura, Sriampura, 2Nd Stage",Mysore,Karnataka,570023
560,Belaku Eye Hospital,"# 769, 1St Cross, Ring Road, Kengeri Upanagar",Bangalore,Karnataka,560060
561,Specialist Hospital - Bangalore,"# 216, 7Th Main, 80 Feet Road, 1St Block, Hrbr Layout, Kalyan Nagar",Bangalore,Karnataka,560043
562,Shreya Hospital - Kolar,"2Nd Main Road, Fort,",Kolar,Karnataka,563101
563,The Eye Foundation - Bellandur,"79/5 Outer Ring Road, Bellandur, Opp Bangalore Central Mall",Bangalore,Karnataka,560103
564,"MANJUNATHA EYE HOSPITAL -
UDUPI","Bannanje, City Bus Stand, Udupi",Udupi,Karnataka,576101
565,People Tree Hospital(Unit of TMI Health Care Pvt.),"#2, Service Road, Tumkur Road, (Nh-4), Opp.Hotel Vivanta, Yeshwantpur",Bangalore,Karnataka,560022
566,Sapthagiri Hospital - Bangalore,"No.15 Chickkasandra Hesarghatta, Main Road Opp Ajb Layout",Bangalore,Karnataka,560090
567,Tatwadarsha Hospital,"M.T. Sagar, Near Shreya Nagar, Unkal-Heggari Road, Off.Gokul Road, Hubli.",Hubli,Karnataka,580030
568,Manasa Hospital - Bangalore,"Opp. To Lic Office, D-Cross Main Road, Doddaballap, Opp To Lic Office",Doddaballapur,Karnataka,561203
569,"NAGESH HOSPITAL -
KARNATAKA","Mysuru Road, Channarayapatna,",Hassan,Karnataka,573116
570,Aveksha Hospital,"#122, Varadarajaswamy Layout, Singapura Main Road Near M S Palya",Bangalore,Karnataka,560097
571,VASUDEV HOSPITAL PVT. LTD.,"Desai Chawl, Mirde Galli, Near Meenaxi Chowk",Bijapur,Karnataka,586101
572,"Mangalore Institute of
Oncology",Pumpwell,Mangalore,Karnataka,575002
573,DR TMA PAI HOSPITAL,"Opp.Old Taluk Office, Udupi,",Udupi,Karnataka,576101
574,Sarji Hospital - SHIMOGA,"Plot No-11, Ward-5, Rmr Road, Park Extension,",Shimoga,Karnataka,577201
575,"BRINDAVAN HOSPITAL -
MYSORE","No-64 & 64/1, 3Rd Cross, Jayalakshmipuram,",Mysore,Karnataka,570012
576,New Kolar Nursing Home-Kolar,"Kuvempu Nagar Kuvempu Nagar, Near Bus Stand",Kolar,Karnataka,563101
577,KRISHNA HOSPITAL - MYSORE,"18Th Cross, R P Road, Nanjangud,",Mysore,Karnataka,571301
578,Surya Hospital -Tumkur,"1St Main, Vinayakangar,",Tumkur,Karnataka,572101
579,Abhaya Hospital - Belthangady,"Jain Pete,Belthangady",Dakshina Kannada,Karnataka,574214
580,Aster CMI Hospital,"No. 43/2, Nh-7, Hebbal, Sahakara Nagar, Bangalore Kodigehalli Gate,",Bangalore,Karnataka,560092
581,VAIBHAV ORTHOPAEDIC & TRAUMA CARE CENTRE -,"Mukund Nagar, Station Road,Dist. Vijayapura, Dist. Vijayapura",Bijapur,Karnataka,586104
582,"The Oxford Medical College, Hospital & Research Ce","Attibele, Hosur Road, Behind La-Classic Hotel, Anekal Taluk",Bangalore,Karnataka,562107
583,Janapriya Hospital And Research Centre,"Shankar Mutt Road, 2Nd Cross Near Ayyappa Swamy, Temple K. R. Puram",Hassan,Karnataka,573201
584,Subbaiah Medical College Hospital & Research Centr,"Nh-13 Purale Village Nh-13 Purale Village, Shimoga",Shimoga,Karnataka,577222
585,Sigma Hospital - Mysore,"P/8D, Thonachikoppal Road, Saraswathipuram,",Mysore,Karnataka,570009
586,Trishala Devi Super Specialty Eye Hospital,"Kb Road Bangalore Kb Road, Near Malangalinaka",Bagalkot,Karnataka,587314
587,Om Multispeciality Hospital- Ranebennur,"Hiregoudar Complex, Medlari Road, Ashok Nagar, Ranebennur",Ranebennur,Karnataka,581115
588,Rainbow Childrens Hospital - Bangalore,"No. 8/5, Marathahalli-Kr Puram Outer, Ring Road, Diddanekundi",Bangalore,Karnataka,560037
589,Mudhol Hospital,"Near Allapur Base, Hakim Chowk, Near. Hakeem Chowk, J.M. Road",Bijapur,Karnataka,586104
590,Metro United Healthcare L.L.P.,"Shivamurthy Circle, Savalanga Road",Shimoga,Karnataka,577201
591,Davangere Netralaya,"#2708/1-4-5, M.C.C. ‘B’ Block, Beside Gundi Mahadevappa Choultry",Davangere,Karnataka,577004
592,Kembhavi Eye Hospital,"Shivaji Chowk, Kavali Gate, Shivaji Circle",Bijapur,Karnataka,586101
593,Trinetra Eye Hospital- Mandya,"#1212/1, Sanmathi, Ashoknagar,3Rd Cross, Opp. To Vikram Hospital",Mandya,Karnataka,571401
594,Shubhodaya Hospital,"No.26, Dr. Rajkumar Road, Teachers Layout",Mysore,Karnataka,570011
595,Ashoka Hospital - Hubli,"Behind Amrut Theatre, Vidyanagar, Dharwad",Hubli,Karnataka,580021
596,Rainbow Childrens Hospital - Bannerghatta Road,"No.178/1 & 178/2, Opp. Janardhan Towers, Billekahalli, Bannerghatta Road",Bangalore,Karnataka,560076
597,Srinivas Institute of Medical ScienceAnd RC,"Srinivasnagara, Mukka, Surathkal, Mukka Village",Mangalore,Karnataka,574146
598,KLE CENTENARY CHARITABLE HOSPITAL & MRC,Yellur Road,Belgaum,Karnataka,590005
599,Baragi Hospital,"Rajiva Gandhi Road,",Bagalkot,Karnataka,587101
600,"TATHAGAT HEART CARE
CENTRE - Bangalore","Maalige Medical Centre Premises , 31/32 , Cresent Road ,Bangalore",Bangalore,Karnataka,560001
601,Annapoorna Eye Hospital - Mysore,"199, Sai Paadam, New Kantharaj Urs Road, Sharada Devi Nagar",Mysore,Karnataka,570022
602,"EAST POINT HOSPITAL -
BANGALORE","Bidarahalli, Virgonagar Post, Bangalore. East",Bangalore,Karnataka,560049
603,DR KATTI HOSPITAL - Bagalkot,"Bendigeri Layout, Laxmi Nagar Ext.,",Bagalkot,Karnataka,587101
604,Nandi Multispeciality Hospital,"D’Cross Main Road, Near Federal Bank, Doddaballapur",Doddaballapur,Karnataka,561203
605,Maax Super Specialty Hospital,"R.M.R. Road, Park Extension",Shimoga,Karnataka,577201
606,Nirmala Hospital - Mysore,"2,Giridarshini Layout, T. Narasipura Main Road, Alanahally, Near Iob Bank",Mysore,Karnataka,570028
607,Somayaji Hospital,"B.C. Road, P. O. Jodunarga,",Bantwal,Karnataka,574219
608,SRI SAI NETHRALAYA,"1St Cross,Ramajoyish Nagar,Opp.Sbm Bank, Kunigal Road, Tumkur",Tumkur,Karnataka,572101
609,Venugram Hospitals(Belgaum) Pvt.Ltd.,"Cts 785 , 2Nd Cross, Hindu Nagar, Near 3Rd Railway Gate, Opp D-Mart",Belgaum,Karnataka,590006
610,SAI AADHAR HOSPITAL,"Yadwad Road,Mudhol",Mudhol,Karnataka,587313
611,TARA HOSPITAL -  Mangalore,"Ganapathi High School Road, Mangalore",Mangalore,Karnataka,575001
612,"ALVAS HEALTH CENTRE -
Moodabidri","5-169J, Near Swaraj Maidan,",Moodbidri,Karnataka,574227
613,BHS Lakeview Heart & Super Speciality Hospital,"No.5653/17-20, Mahatma Phule Road, Sahastri Nagar",Belgaum,Karnataka,590003
614,Samruddhi Eye Hospital,"No.2, Near Fortuna Vista Apt., Kodigehalli Main, Road, Thidlu, Vidyaranyapura Post",Bangalore,Karnataka,560097
615,Clearmedi Radiant Hospital,"No.2 C-1, A-1 Block, 3Rd Stage, Vijayanagar",Mysore,Karnataka,570017
616,HCG Cancer Centre - Kalaburagi,"No.1, 10/A, Khuba Plot, Station Road, Brhampur, Gulbarga",Gulbarga,Karnataka,585102
617,SUYOG HOSPITAL - MYSORE,"P/2 Dhakshineshwara Road, E & F Block, Ramakrishna Nagar",Mysore,Karnataka,570022
618,Nanjamma Javare Gowda's Hospital,"Akola Palace Road, Yelwala Bypass, Yelwala",Mysore,Karnataka,571130
619,HOLY CROSS HOSPITAL - HANUR,"Kamagere Kongra Hally Post Kollegal Taluk, M.M Hills Road,",Chamrajnagar,Karnataka,571443
620,Hubli Super Speciality Hospital,Kalyanagar,Hubli,Karnataka,580031
621,Surya Eye & Skin Care Hospital,"Nihala Complex, Opp. Sarvagna Park, Kote",Kolar,Karnataka,563101
622,JSS HOSPITAL - Chamarajanagar,"2731 B Rachaiah Double Road, Jss Womens Collge",Chamrajnagar,Karnataka,571313
623,Spandana Urology Centre,"Isiri # 663/2,3, 8Th Main, Aruna Takies Road, Near Krishna Bakery, P.J Extn, Davangere",Davangere,Karnataka,577002
624,G MADEGOWDA SUPER SPECIALITY HOSPITAL,"# 1889 Bharathi Trust Complex Bharti Nagar, Km Doddhi, Maddur",Mandya,Karnataka,571422
625,Nandhana Super Speciality Eye Care Pvt Ltd,"446/2, New No, Ch-38/2 Jhansi Lakshmi Bai Road, Chamraja Mehalla",Mysore,Karnataka,570005
626,Narayana Nethralaya II - Bommasandra,"Narayana Health City, ,Narayana Hrudyalaya Campus, # 258/A, Bommasandra, Hosur Road,",Bangalore,Karnataka,560099
627,DRM Multispeciality Hospital,"#2909, New No.22 & 22/1, Temple Road, Old Vikram Jyoth Building",Mysore,Karnataka,570002
628,GANGA HOSPITAL- GOKAK,"Mayur School Road Gokak, Belagaui",Belgaum,Karnataka,591307
629,Shri Shivshankrappa Nandyal Eye Care Centre,"# 7-1184/103,Pp.Gunj Bus Stand, Opp. Gunj Bus Stand",Gulbarga,Karnataka,585104
630,SWATHI HOSPITAL - TUMKUR,"Gandhi Nagar, Near Canara Bank",Tumkur,Karnataka,572137
631,SANJEEVINI SPECIALITY HOSPITAL,"Shirur Park Main Road, Prashant Colony, Vidyanagar, Beside Corporation Bank",Hubli,Karnataka,580031
632,Supriya Hospital - Mysore,"#728, New Street, Hinkal, Mysore, New Tvs Sona Motors",Mysore,Karnataka,570017
633,"Bangalore Cancer Centre Pvt
Ltd","118/1, Mookambika Temple Road",Bangalore,Karnataka,560091
634,Raghu Hospital - Sira,"Balajinagar Sira, Near Ksrtc Bus Stand, Sira",Tumkur,Karnataka,572139
635,Kamal Eye Hospital - Gulbarga,"10-105/14 Sharan Nagar Brahmpur, Gulbarga",Gulbarga,Karnataka,585103
636,Shivakrupa Hospital - Dharwad,"Bembalgi Complex, Sir Siddappa Kambli Road, Hubb, Hubballi",Hubli,Karnataka,580020
637,Belaku Eye Hospital-Mandya,"#1186, 2Nd Cross, Ashok Nagar, Above. Tara Supersepciality Polyclinic, Mandya",Mandya,Karnataka,571401
638,Belaku Eye Hospital- Ramanagara,"#2030/1, Sri Manjunatha Complex, Near. Ksrtc Road, B.M. Road, Ramanagara",Ramanagara,Karnataka,562159
639,Spandana Maternity & General Hosptial,"Mangalore Road, Karkala, Pincode-574104",Karkala,Karnataka,574104
640,Shanti Hospital - Raichur,"6-1-3017/18/19 Kustagi Road Sindhanur, Opp Sbi Bank",Raichur,Karnataka,584128
641,Sri Lakshmi Venkatesha Nursing Home,"B.M. Road, Near Sbm",Mandya,Karnataka,571432
642,Sambhram Institute Of Medical Science & Research,"36, D.K. Plantations B.E.M.L Nagar, Kolar Gold Fields",Kolar,Karnataka,563115
643,Nandeeshwara Super Speciality Eye Hospital,"751/693, 3Rd Division, Amn Complex. M.G. Road 29Th, Shidlaghatta Main Road ;Opp. St. Joseph School",Chikkaballapur,Karnataka,562101
644,Sparsh Hospital(Shiva And Shiva Orthopaedic Hosp.),"Ca#8, Ideal Homes Township, Rajarajeshwari Nagar",Bangalore,Karnataka,560098
645,Vihaan Heart Care Private Limited,"3Rd Floor Above Gokul Icu Inside, Vivekananda Hospital, Deshpande Nagar",Hubli,Karnataka,580029
646,"Holy Cross Hospital, Adoor","Holycross Junction Kayamkulam, Pathanamthitta, Pathanapuram Road",Adoor,Kerala,691523
647,"Bhandari Hospital & Research Centre, Indore","21-22 G F Bhrc Parisar Scheme No. 54, Opp. Meghdoot Gardens",Indore,Madhya Pradesh,452010
648,Jabalpur Hospital & Research Centre,"Napier Town, Russel Crossing",Jabalpur,Madhya Pradesh,482002
649,JYOTI MULTI SPECIALITY HOSPITALS PVT LTD,"Gf/19, Sch. No. 54, Opp Maghdood Garden, Vijay Nagar,",Indore,Madhya Pradesh,452010
650,Charak Hospital Private Limited,"""Film Bhavan"", Rani Sati Gate, Y N Road",Indore,Madhya Pradesh,452003
651,Chirayu Health And Medicare Private Ltd.,"6, Malipura, Peergate ,Opp. Sadar Manjil",Bhopal,Madhya Pradesh,462001
652,Ashish Nursing Home(Ashish Hospital),"1309/ A, Napier Town, Home Science College Road,",Jabalpur,Madhya Pradesh,482002
653,Ratan Jyoti Netralaya,"18, Vikas Nagar, Near Sai Baba Temple,",Gwalior,Madhya Pradesh,474002
654,MAHAKOSHAL HOSPITAL,"Opp. Wright Town Stadium Gate, No 3 ,",Jabalpur,Madhya Pradesh,482002
655,"Bombay Hospital &  Research Centre,Jabalpur","Gole Bazaar, Jablpur",Jabalpur,Madhya Pradesh,482002
656,PEOPLES GENERAL HOSPITAL (PVT.)LTD.,"6, Malviya Nagar,",Bhopal,Madhya Pradesh,462003
657,ARADHANA MATERNITY & KIDNEY HOSPITAL,"M-31, Sector-A, Infront Of Piplani Petrol Pump, Sonagiri Main Road,",Bhopal,Madhya Pradesh,462021
658,CHHAVI EYE HOSPITAL,"2567 Near Telecom Factory Gate No.2 Madan Mahal, Station Road Wright Town Jabalpur",Jabalpur,Madhya Pradesh,482002
659,RAJAS EYE & RETINA RESEARCH CENTRE,"152,Kanchan Bag, Near Airtel Office",Indore,Madhya Pradesh,452018
660,Sewa Sadan Eye Hospital Trust,"B-Ward Old, Sant Hirdaram Nagar",Bhopal,Madhya Pradesh,462030
661,NARMADA TRAUMA CENTRE PVT.LTD.,"E3-23, Arera Colony,",Bhopal,Madhya Pradesh,462016
662,CHANDAK HOSPITAL,Chandak Chowk Katni,Katni,Madhya Pradesh,483501
663,Maheshwari Nursing Home - Gwalior,"85 Lakshmi Bai Colony, Padav Gwalior (M P)",Gwalior,Madhya Pradesh,474002
664,Kalyan Memorial & Kdj Hospital,"Baradari Crossing, Morar",Gwalior,Madhya Pradesh,474006
665,S.M.HOSPITAL & RESEARCH CENTRE,"Opp. Madho Dispensary Hospital Road, Gwalior",Gwalior,Madhya Pradesh,474009
666,Apex Research Centre & Hospital Pvt Ltd,"116-117, Sindhi Colony, Berasia Road,",Bhopal,Madhya Pradesh,462018
667,Career Institute Of Medical Sciences(Cims),"Career College Campus,Govindpura, Bhel Govindpura, Bhel, Bhopal.",Bhopal,Madhya Pradesh,462023
668,Choithram Hospital & Research Centre,14 Manik Bagh Road,Indore,Madhya Pradesh,452014
669,ANANT SHREE HOSPITAL,"40-A Sector, Indrapuri, Opp. Bhel Gate No. 1, Rajsen Road,",Bhopal,Madhya Pradesh,462021
670,Saraf Hospital-,"Behind High Court, , Old High Court",Gwalior,Madhya Pradesh,474001
671,GOMABAI NETRALAYA,"Gomabai Marg 14/3, Vikas Marg",Neemuch,Madhya Pradesh,458441
672,Rainbow Children Hospital;,"Sahkar Bhawan, New Market,",Bhopal,Madhya Pradesh,462003
673,ROHIT EYE HOSPITAL & CHILD CARE CENTRE,"201-202, Safire House, 9, Sneh Nagar Main Rd,",Indore,Madhya Pradesh,452001
674,Sankalp Netralya Hospital,"109 Zone 2 Mp Nagar, Bhopal",Bhopal,Madhya Pradesh,462011
675,MEDI-SQUARE HOSPITAL,"9, Vishnupuri, Bhanwarkua Suare, A.B.Raod",Indore,Madhya Pradesh,452001
676,Metro Hospital & Cancer Research Centre,"Kuchaini Parisar, Damoh Naka, Near Kshetriya Bus Stand",Jabalpur,Madhya Pradesh,482002
677,NAWAZ HOSPITAL,"Kohe - Fiza Bhopal, 52-A, B D A Colony, Opp., Opp. Police Chowky",Bhopal,Madhya Pradesh,462001
678,Saluja Eye Care Center,"4, Babji Nagar, Near Mahindra Show Room, Opp. Sch. 78 Brts Stop, Ab Road, Niranjanpur",Indore,Madhya Pradesh,452010
679,Mitali Maternity & Surgical Nursing Home.,"Ward No 22, Circuit House Road,",Balaghat,Madhya Pradesh,481001
680,LBS HOSPITAL,"73, Tajul Masajid Road, Opp. Motia Talab",Bhopal,Madhya Pradesh,462001
681,Pamnani Hospital & Research Center,"Prem Colony, Railway Station Road,",Mandsaur,Madhya Pradesh,458001
682,MGM Hospital & Research Centre,"Kachari Chowk, Kachari Chowk",Katni,Madhya Pradesh,483501
683,New Pandey Hospital,"Shanichra, Hoshangabad,",Hoshangabad,Madhya Pradesh,461001
684,Choithram Netralaya,"Shri Ram Talawali, Dhar Road",Indore,Madhya Pradesh,453001
685,Soham Hospital & Research Center,"59, Mayur Market, Behind Petrol Pump, Behind Petrol Pump",Gwalior,Madhya Pradesh,474011
686,Dayal Multi Speciality Hospital,"Near Bsnl Office, Itarsi",Itarsi,Madhya Pradesh,461111
687,Dube Surgical & Dental Hospital,"Near Ghamapur Chowk, High Court Road",Jabalpur,Madhya Pradesh,482002
688,BIMR Hospital,"Surya Mandir Road, Residency Morar,",Gwalior,Madhya Pradesh,474005
689,Seth mannulal Jagannathdas,"Dixitpura Dixitpura, Jabalpur",Jabalpur,Madhya Pradesh,482002
690,Chirayu Medical College & Hospital,"Bhopal-Indore Highway, Near Bairagarh,",Bhopal,Madhya Pradesh,462030
691,Suvidha polyclinic & research centre pvt ltd,"230, Near Chhoti Line Phatak, Madan Mahal Road,",Jabalpur,Madhya Pradesh,482002
692,Divya Drishti Eye and Laser centre,"No.2 Lashkar Jhinsi Road, Lashkar",Gwalior,Madhya Pradesh,474001
693,Lakecity Institute of Surgical Sciences Pvt.Ltd.,"B-27, Kasturba Nagar, Near Chetak Bridge",Bhopal,Madhya Pradesh,462023
694,Tripti Hospital,"172 Laighati Square Airport Road, Air Port,",Bhopal,Madhya Pradesh,462030
695,Global Speciality Hospital,"Behind Hotel Sita Manor, Gandhi Road,",Gwalior,Madhya Pradesh,474001
696,Sahara Fracture & General Hospital,"No. 113, Sector-B, Vidhya Nagar, Hoshangabad Road,",Bhopal,Madhya Pradesh,462026
697,Sadguru Netra Chikitsalaya,"Shri Sadguru Swva Sangh Trust, Jankikund",Chitrakoot,Madhya Pradesh,485334
698,Radiant Eye Hospital,"23/4, Bhoj Marg, Freeganj",Ujjain,Madhya Pradesh,456010
699,Central Hospital - Bhopal,"B-123, Indra Virar Colony, Tilak Society,Airport Road, Lalghati, Airport Road, Lalghati",Bhopal,Madhya Pradesh,462001
700,Balaji Fracture & General Hospital,"Lig-A-1, Sector Sonagiri Opp. Piplani Petrol Pump, Raisen Road",Bhopal,Madhya Pradesh,462021
701,Sarvottam Hospital,"48-49, Janki Nagar, Opp. Ghupha Mandir, Near Lal Ghati Square",Bhopal,Madhya Pradesh,462032
